"asciiname","population","location"
"Heino",6459,"https://www.google.com/maps/?q=52.43661,6.23282"
"Eelde",6450,"https://www.google.com/maps/?q=53.13583,6.5625"
"Waalre",6445,"https://www.google.com/maps/?q=51.38667,5.44444"
"Heythuysen",6420,"https://www.google.com/maps/?q=51.25,5.89861"
"Leersum",6385,"https://www.google.com/maps/?q=52.01167,5.42778"
"Orden",6385,"https://www.google.com/maps/?q=52.20113,5.93417"
"Woudhuis",6375,"https://www.google.com/maps/?q=52.21323,6.01124"
"De Doornakkers",6345,"https://www.google.com/maps/?q=51.43844,5.50887"
"Bunnik",6315,"https://www.google.com/maps/?q=52.06667,5.19861"
"De Drait",6310,"https://www.google.com/maps/?q=53.09743,6.06791"
"Gilze",6300,"https://www.google.com/maps/?q=51.54417,4.94028"
"Druten",6270,"https://www.google.com/maps/?q=51.88833,5.60556"
"De Heeg",6255,"https://www.google.com/maps/?q=50.82454,5.72309"
"Driemanspolder",6250,"https://www.google.com/maps/?q=52.05176,4.48504"
"Kortenhoef",6250,"https://www.google.com/maps/?q=52.23917,5.10694"
"Muiden",6223,"https://www.google.com/maps/?q=52.33,5.06944"
